Overs Remaining,0,1,2,3,4,5,6,7,8,9
12.83,70.23333333333333,68.66666666666667,66.2,62.36666666666667,57.05,53.983333333333334,43.28333333333333,31.6,19.2,8.3
12.67,69.46666666666667,67.93333333333334,65.5,61.733333333333334,56.5,53.56666666666666,42.96666666666667,31.400000000000002,19.1,8.3
12.5,68.7,67.2,64.80000000000001,61.1,55.95,53.15,42.650000000000006,31.200000000000003,19.0,8.3
12.33,67.93333333333334,66.46666666666667,64.10000000000001,60.46666666666667,55.4,52.733333333333334,42.333333333333336,31.0,18.9,8.3
12.17,67.16666666666667,65.73333333333333,63.400000000000006,59.833333333333336,54.849999999999994,52.31666666666666,42.016666666666666,30.8,18.8,8.3
12.0,66.4,65.0,62.7,59.2,54.3,51.9,41.7,30.6,18.7,8.3
11.83,65.61666666666667,64.23333333333333,61.983333333333334,58.550000000000004,53.733333333333334,51.43333333333333,41.36666666666667,30.383333333333333,18.6,8.3
11.67,64.83333333333334,63.46666666666667,61.266666666666666,57.9,53.166666666666664,50.96666666666667,41.03333333333334,30.166666666666668,18.5,8.3
11.5,64.05000000000001,62.7,60.55,57.25,52.599999999999994,50.5,40.7,29.950000000000003,18.4,8.3
11.33,63.26666666666667,61.93333333333333,59.833333333333336,56.6,52.03333333333333,50.03333333333333,40.36666666666667,29.733333333333334,18.3,8.3
11.17,62.483333333333334,61.166666666666664,59.11666666666667,55.949999999999996,51.46666666666667,49.56666666666667,40.03333333333334,29.516666666666666,18.200000000000003,8.3
11.0,61.7,60.4,58.4,55.3,50.9,49.1,39.7,29.3,18.1,8.3
10.83,60.86666666666667,59.63333333333333,57.666666666666664,54.63333333333333,50.31666666666666,48.6,39.333333333333336,29.066666666666666,17.983333333333334,8.3
10.67,60.03333333333334,58.86666666666667,56.93333333333333,53.96666666666666,49.733333333333334,48.1,38.96666666666667,28.833333333333332,17.866666666666667,8.3
10.5,59.2,58.099999999999994,56.2,53.3,49.15,47.6,38.6,28.6,17.75,8.3
10.33,58.36666666666667,57.33333333333333,55.46666666666667,52.63333333333333,48.56666666666666,47.1,38.233333333333334,28.366666666666667,17.633333333333333,8.3
10.17,57.53333333333334,56.56666666666666,54.733333333333334,51.96666666666666,47.983333333333334,46.6,37.86666666666667,28.133333333333333,17.516666666666666,8.3
10.0,56.7,55.8,54.0,51.3,47.4,46.1,37.5,27.9,17.4,8.3
9.83,55.88333333333333,55.016666666666666,53.25,50.599999999999994,46.78333333333333,45.55,37.1,27.633333333333333,17.266666666666666,8.3
9.67,55.06666666666667,54.233333333333334,52.5,49.9,46.166666666666664,45.0,36.7,27.366666666666667,17.133333333333333,8.3
9.5,54.25,53.45,51.75,49.2,45.55,44.45,36.3,27.1,17.0,8.3
9.33,53.43333333333333,52.666666666666664,51.0,48.5,44.93333333333334,43.9,35.9,26.833333333333332,16.866666666666667,8.3
9.17,52.61666666666667,51.88333333333333,50.25,47.8,44.31666666666667,43.349999999999994,35.5,26.566666666666666,16.733333333333334,8.3
9.0,51.8,51.1,49.5,47.1,43.7,42.8,35.1,26.3,16.6,8.3
8.83,50.93333333333333,50.233333333333334,48.7,46.36666666666667,43.050000000000004,42.233333333333334,34.66666666666667,26.016666666666666,16.450000000000003,8.3
8.67,50.06666666666666,49.36666666666667,47.9,45.63333333333333,42.4,41.666666666666664,34.233333333333334,25.733333333333334,16.3,8.3
8.5,49.2,48.5,47.1,44.900000000000006,41.75,41.099999999999994,33.8,25.450000000000003,16.15,8.3
8.33,48.333333333333336,47.63333333333333,46.300000000000004,44.16666666666667,41.1,40.53333333333333,33.36666666666667,25.166666666666668,16.0,8.3
8.17,47.46666666666667,46.766666666666666,45.5,43.43333333333334,40.449999999999996,39.96666666666667,32.93333333333334,24.883333333333333,15.85,8.3
8.0,46.6,45.9,44.7,42.7,39.8,39.4,32.5,24.6,15.7,8.3
7.83,45.71666666666667,45.05,43.88333333333333,41.95,39.11666666666667,38.75,32.03333333333333,24.283333333333335,15.533333333333333,8.3
7.67,44.833333333333336,44.199999999999996,43.06666666666667,41.2,38.43333333333333,38.1,31.566666666666666,23.96666666666667,15.366666666666665,8.3
7.5,43.95,43.349999999999994,42.25,40.45,37.75,37.45,31.1,23.65,15.2,8.3
7.33,43.06666666666666,42.5,41.43333333333333,39.7,37.06666666666667,36.8,30.633333333333333,23.333333333333332,15.033333333333333,8.3
