Balls Bowled,0,1,2,3,4,5,6,7,8,9
107,22.857142857142858,14.52956628213083,14.52956628213083,14.52956628213083,14.52956628213083,14.52956628213083,14.52956628213083,14.52956628213083,11.10185003105603,9.797557025792551
108,22.380952380952383,13.915362667695334,13.749217668388829,13.749217668388829,13.749217668388829,13.749217668388829,13.749217668388829,13.749217668388829,11.035336461465583,8.073010307738976
109,21.904761904761905,12.974775332653506,12.712220630774114,12.712220630774114,12.712220630774114,12.712220630774114,12.712220630774114,12.712220630774114,10.698326978808344,7.777786542672669
110,19.047619047619047,11.40176727830843,11.40176727830843,11.40176727830843,11.40176727830843,11.40176727830843,11.40176727830843,11.40176727830843,10.537234476662512,6.682287361959936
111,18.571428571428573,10.570737745045182,10.570737745045182,10.570737745045182,10.570737745045182,10.570737745045182,10.570737745045182,10.570737745045182,10.055175300975913,6.261205381726201
112,15.714285714285714,9.86705418370546,9.86705418370546,9.86705418370546,9.86705418370546,9.86705418370546,9.86705418370546,9.86705418370546,9.44977407377912,6.05089994049382
113,12.857142857142856,8.701078493725912,8.701078493725912,8.701078493725912,8.701078493725912,8.701078493725912,8.701078493725912,8.701078493725912,8.323337444115872,5.717304673767317
114,10.0,7.667917743749825,7.667917743749825,7.667917743749825,7.667917743749825,7.667917743749825,7.667917743749825,7.667917743749825,7.566891278766463,5.907903723312769
115,9.285714285714285,6.226204227897608,6.226204227897608,6.226204227897608,6.226204227897608,6.226204227897608,6.226204227897608,6.226204227897608,6.226204227897608,5.163699254580846
116,8.095238095238095,5.010795199983543,5.010795199983543,5.010795199983543,5.010795199983543,5.010795199983543,5.010795199983543,5.010795199983543,5.010795199983543,4.300348050249042
117,6.190476190476191,4.468246502306055,4.389510736091946,4.389510736091946,4.389510736091946,4.389510736091946,4.389510736091946,4.389510736091946,4.389510736091946,3.5010130950306584
118,4.285714285714286,2.8892163229582266,2.8892163229582266,2.8892163229582266,2.8892163229582266,2.8892163229582266,2.8892163229582266,2.8892163229582266,2.8892163229582266,2.6628812287475268
119,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.380952380952381,2.107803296338994
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
